source,rule,r1,r2,r3,std_support,std_body,std_confidence,pca_support,pca_body,pca_confidence
inductive_inverse,"brotherOf(X,Y) -> greatAuntOf(Y,X)",brotherOf,greatAuntOf,,0,570,0.0,0,132,0.0
inductive_inverse,"brotherOf(X,Y) -> greatGranddaughterOf(Y,X)",brotherOf,greatGranddaughterOf,,0,570,0.0,0,147,0.0
inductive_inverse,"brotherOf(X,Y) -> greatGrandfatherOf(Y,X)",brotherOf,greatGrandfatherOf,,0,570,0.0,0,25,0.0
inductive_inverse,"brotherOf(X,Y) -> greatGrandmotherOf(Y,X)",brotherOf,greatGrandmotherOf,,0,570,0.0,0,21,0.0
inductive_inverse,"brotherOf(X,Y) -> greatGrandsonOf(Y,X)",brotherOf,greatGrandsonOf,,0,570,0.0,0,152,0.0
inductive_inverse,"brotherOf(X,Y) -> greatUncleOf(Y,X)",brotherOf,greatUncleOf,,0,570,0.0,0,105,0.0
inductive_inverse,"brotherOf(X,Y) -> motherOf(Y,X)",brotherOf,motherOf,,0,570,0.0,0,130,0.0
inductive_inverse,"brotherOf(X,Y) -> nephewOf(Y,X)",brotherOf,nephewOf,,0,570,0.0,0,190,0.0
inductive_inverse,"brotherOf(X,Y) -> nieceOf(Y,X)",brotherOf,nieceOf,,0,570,0.0,0,192,0.0
inductive_inverse,"brotherOf(X,Y) -> secondAuntOf(Y,X)",brotherOf,secondAuntOf,,0,570,0.0,0,76,0.0
inductive_inverse,"brotherOf(X,Y) -> secondUncleOf(Y,X)",brotherOf,secondUncleOf,,0,570,0.0,0,50,0.0
inductive_inverse,"brotherOf(X,Y) -> sonOf(Y,X)",brotherOf,sonOf,,0,570,0.0,0,262,0.0
